"((40.433513700000006, -73.97994090000002), (40.6866757, -73.97994090000002))",1
"((40.742580600000004, -73.99304740000001), (40.7425813, -73.99304740000001))",4
"((40.798351399999994, -73.960755), (40.7983548, -73.960755))",1
"((40.6866757, -73.982027), (40.6917447, -73.982027))",3
"((40.877619, -73.9083193), (40.882335600000005, -73.9083193))",2
"((40.8359007, -73.9286864), (40.835902600000004, -73.9286864))",6
"((40.709973600000005, -73.9213222), (40.7099745, -73.9213222))",1
"((40.433513700000006, -73.94331509999999), (40.6866757, -73.94331509999999))",1
"((40.7552006, -73.97122009999998), (40.7552006, -73.97121949999999))",2
"((40.877619, -73.9042787), (40.882335600000005, -73.9042787))",6
"((40.6964921, -73.9494309), (40.6965042, -73.9494309))",9
"((40.720905200000004, -73.9910691), (40.7209061, -73.9910691))",1
"((40.433513700000006, -73.935273), (40.6866757, -73.935273))",6
"((40.756643200000006, -73.9862855), (40.7566449, -73.9862855))",13
"((40.693573, -73.9559852), (40.694001, -73.9559852))",1
"((40.8512131, -73.93521640000002), (40.8512131, -73.9352143))",6
"((40.8260347, -73.90162409999999), (40.8260347, -73.8958228))",2
"((40.7278541, -73.982229), (40.7278541, -73.982228))",1
"((40.763424799999996, -73.92842990000001), (40.763424799999996, -73.92842759999999))",1
"((40.720472799999996, -73.906451), (40.720472799999996, -73.906352))",1
"((40.819964299999995, -73.90162409999999), (40.819964299999995, -73.8958228))",1
"((40.6866757, -73.989407), (40.6917447, -73.989407))",2
"((40.796071600000005, -73.9670667), (40.7960771, -73.9670667))",1
"((40.8375766, -73.9385941), (40.8375766, -73.93859379999999))",2
"((40.703368499999996, -73.9846443), (40.7033688, -73.9846443))",1
"((40.8830659, -73.9139819), (40.970498299999996, -73.9139819))",1
"((40.433513700000006, -73.95616779999999), (40.6866757, -73.95616779999999))",2
"((40.7897098, -73.96797420000001), (40.7897098, -73.9679721))",6
"((40.6978537, -73.9805272), (40.6978542, -73.9805272))",3
"((40.85182879999999, -73.9052527), (40.85182879999999, -73.904777))",1
"((40.71370039999999, -73.9493095), (40.7137011, -73.9493095))",6
"((40.433513700000006, -73.98465329999999), (40.6866757, -73.98465329999999))",1
"((40.7641904, -73.9944891), (40.7641907, -73.9944891))",1
"((40.6866757, -73.9602926), (40.6917447, -73.9602926))",1
"((40.433513700000006, -73.915392), (40.6866757, -73.915392))",4
"((40.433513700000006, -73.9441257), (40.6866757, -73.9441257))",1
"((40.863121, -73.8958228), (40.863121, -73.8938515))",10
"((40.7232111, -73.9740223), (40.7232119, -73.9740223))",1
"((40.8273669, -73.9069154), (40.8273669, -73.90678879999999))",7
"((40.433513700000006, -73.9596258), (40.6866757, -73.9596258))",3
"((40.7779619, -73.9599556), (40.7779627, -73.9599556))",3
"((40.73686370000001, -73.9785275), (40.7368652, -73.9785275))",1
"((40.725987100000005, -73.9805476), (40.72598789999999, -73.9805476))",1
"((40.790093299999995, -73.9786115), (40.7900937, -73.9786115))",1
"((40.770943599999995, -73.9810764), (40.7709443, -73.9810764))",4
"((40.433513700000006, -73.9203781), (40.6866757, -73.9203781))",1
"((40.433513700000006, -73.9615454), (40.6866757, -73.9615454))",1
"((40.433513700000006, -73.91623879999999), (40.6866757, -73.91623879999999))",2
"((40.6866757, -73.9316422), (40.6917447, -73.9316422))",6
"((40.433513700000006, -73.9954842), (40.6866757, -73.9954842))",1
"((40.743705799999994, -73.9859239), (40.743705799999994, -73.9859227))",3
"((40.704226500000004, -73.9300209), (40.704227100000004, -73.9300209))",6
"((40.433513700000006, -73.99306709999999), (40.6866757, -73.99306709999999))",1
"((40.7681601, -73.90668170000001), (40.7681601, -73.906499))",2
"((40.762272499999995, -73.9585677), (40.7622732, -73.9585677))",3
"((40.8332523, -73.8958228), (40.8332523, -73.8938515))",1
"((40.705282700000005, -73.90162409999999), (40.705282700000005, -73.8958228))",1
"((40.6866757, -73.98425429999999), (40.6917447, -73.98425429999999))",3
"((40.433513700000006, -73.97391970000001), (40.6866757, -73.97391970000001))",2
"((40.433513700000006, -73.93598270000001), (40.6866757, -73.93598270000001))",3
"((40.8485891, -73.9161593), (40.8485907, -73.9161593))",1
"((40.433513700000006, -73.98469759999999), (40.6866757, -73.98469759999999))",2
"((40.433513700000006, -73.9160902), (40.6866757, -73.9160902))",1
"((40.433513700000006, -73.9239429), (40.6866757, -73.9239429))",2
"((40.6866757, -73.9911567), (40.6917447, -73.9911567))",2
"((40.433513700000006, -73.9545151), (40.6866757, -73.9545151))",1
"((40.433513700000006, -73.9127837), (40.6866757, -73.9127837))",1
"((40.8661601, -73.90162409999999), (40.8661601, -73.8958228))",1
"((40.771589500000005, -73.9042787), (40.771589500000005, -73.904033))",1
"((40.8002705, -73.9524835), (40.800272, -73.9524835))",3
"((40.433513700000006, -73.9299853), (40.6866757, -73.9299853))",2
"((40.6966815, -73.9255179), (40.6967391, -73.9255179))",2
"((40.744326799999996, -73.99919670000001), (40.744327, -73.99919670000001))",4
"((40.7618649, -73.98507940000002), (40.7618649, -73.9850784))",8
"((40.760087299999995, -73.97502990000001), (40.760087299999995, -73.9750292))",3
"((40.7827975, -73.95740699999999), (40.7827975, -73.95740649999999))",1
"((40.7951196, -73.9461275), (40.7951196, -73.94612629999999))",3
"((40.7618738, -73.966358), (40.7618749, -73.966358))",87
"((40.710597, -73.95105759999998), (40.710597799999995, -73.95105759999998))",1
"((40.433513700000006, -73.91243109999999), (40.6866757, -73.91243109999999))",1
"((40.847902000000005, -73.90162409999999), (40.847902000000005, -73.8958228))",2
"((40.770169700000004, -73.9666179), (40.770169700000004, -73.9666163))",2
"((40.433513700000006, -73.99738420000001), (40.6866757, -73.99738420000001))",1
"((40.433513700000006, -73.9698696), (40.6866757, -73.9698696))",2
"((40.7177571, -73.954624), (40.7177571, -73.9546235))",3
"((40.433513700000006, -73.9727171), (40.6866757, -73.9727171))",1
"((40.433513700000006, -73.9130938), (40.6866757, -73.9130938))",3
"((40.705074200000006, -73.905996), (40.705074200000006, -73.9059595))",2
"((40.7068049, -73.9269218), (40.7068049, -73.92692))",1
"((40.6866757, -73.91464549999999), (40.6917447, -73.91464549999999))",1
"((40.6866757, -73.99476209999999), (40.6917447, -73.99476209999999))",1
