"(40.574602841, -73.98763653)"
"(40.574627929, -73.991970544)"
"(40.574627929, -73.991970544)"
"(40.574627929, -73.991970544)"
"(40.574627929, -73.991970544)"
"(40.574627929, -73.991970544)"
"(40.574627929, -73.991970544)"
"(40.574692207, -74.105601877)"
"(40.574751004, -73.987121747)"
"(40.574751004, -73.987121747)"
"(40.574751004, -73.987121747)"
"(40.574794881, -74.115835973)"
"(40.574797617, -74.11308941)"
"(40.574825477, -73.99092661)"
"(40.574825477, -73.99092661)"
"(40.574825477, -73.99092661)"
"(40.574825477, -73.99092661)"
"(40.574825536, -73.973550886)"
"(40.574870619, -74.169734432)"
"(40.574918906, -73.857734069)"
"(40.574935323, -74.106869357)"
"(40.575030854, -73.986092177)"
"(40.575031251, -73.989882667)"
"(40.575031251, -73.989882667)"
"(40.575031251, -73.989882667)"
"(40.575031251, -73.989882667)"
"(40.575031251, -73.989882667)"
"(40.575081132, -73.975023066)"
"(40.575166174, -73.998028796)"
"(40.575258599, -73.846556207)"
"(40.575258599, -73.846556207)"
"(40.575284178, -73.996970475)"
"(40.575312029, -73.976606856)"
"(40.575380784, -73.97727638)"
"(40.575442769, -73.987794763)"
"(40.575545916, -73.979641349)"
"(40.575568096, -73.980933647)"
"(40.575568096, -73.980933647)"
"(40.57557363, -73.981203625)"
"(40.57557363, -73.981203625)"
"(40.57557363, -73.981203625)"
"(40.57557363, -73.981203625)"
"(40.57557363, -73.981203625)"
"(40.57557363, -73.981203625)"
"(40.57557363, -73.981203625)"
"(40.575643619, -73.99378829)"
"(40.575643619, -73.99378829)"
"(40.575643619, -73.99378829)"
"(40.575714468, -73.954731081)"
"(40.575722922, -73.963010484)"
"(40.575747474, -73.962546104)"
"(40.575816445, -73.992197186)"
"(40.575816521, -74.006581777)"
"(40.575869582, -74.09962095)"
"(40.575874049, -73.991668016)"
"(40.575874049, -73.991668016)"
"(40.575885314, -74.001948903)"
"(40.575934395, -73.991135245)"
"(40.576102551, -73.965738895)"
"(40.5761573, -73.9759838)"
"(40.5761573, -73.9759838)"
"(40.5761573, -73.9759838)"
"(40.5761573, -73.9759838)"
"(40.5761573, -73.9759838)"
"(40.5761573, -73.9759838)"
"(40.5761573, -73.9759838)"
"(40.5761573, -73.9759838)"
"(40.5761573, -73.9759838)"
"(40.576208029, -74.095402524)"
"(40.576208433, -73.948009978)"
"(40.576228423, -73.998766718)"
